comentario,polaridade
Preciso do meu na função crédito pois só tenho ele na função débito,neutro
Meu limite aumentar q é bom nd.,negativo
Aumenta o meu,neutro
Tenho convites do Nubank. se alguém quiser o solicitar o cartão é só me mandar o email no direct.,neutro
@peixotoleo_,neutro
Melhor empresa amo meu roxinho????,positivo
Estou super satisfeito com o limite do meu roxinho??,positivo
atrasei o meu 2 dias para pagar  tipo vencimento dia 10 paguei no dia 11 pronto nunca mas aumentaram meu limite ???????,negativo
Meu sonho ter o limite aumentado,neutro
Fui aprovada com 50 reais ?? almenta meu limite @nubank ??,neutro
Melhor cartão que existe ???? muito satisfeita com meu roxinho. estou esperando ansiosa pelo aumento do limite ????,positivo
Gente alguém sabe me informar qual o valor da anuidade desse cartão?,neutro
Eu queria só um cartão de crédito com o mesmo limite do outro banco pra poder cancelar a conta de lá e ficar só aqui,neutro
O meu roxinho disse não quando pedi aumento de limite. um mês depois concedeu! ??????,positivo
Um dia vou ter meu roxinho ??,neutro
Uma tristeza nunca me sobra limite. já pedi mil vezes um aumento de limite ??,negativo
Já quero o aumento do meu,neutro
Eu tô muito triste com vocês já faz 7 mês que meu cartão chegou e vocês não aumenta meu limite .ha pedi. Várias vezes pago em dias até antes  e nada eu vou cancela não dá mais ta com uma cartão que não aumenta de limite e triste mais vou fazer isso ????,negativo
Me ajuda @nubank,neutro
Tentei fazer uma compra dentro do meu limite e não foi aceito @nubank aumenta meu limite ??,neutro
@csg_2.1 leia o contexto e dps os comentários,neutro
O meu tá difícil aumentar...,negativo
Aumenta meu limite ????,neutro
Comecei com limite de 400$ e tem dois mês que uso e estouro limite sempre e nunca aumenta meu limite decepcionado!,negativo
Eu precisava de um limite maior. mas não me deram e procurei o C6 que ofereceu o triplo e ficarei com eles. Obrigado pela atenção. mas quem não dá assistência perde pra concorrência!,negativo
Amando esse cartão! ??,positivo
Quero cadastrar. link por favor,neutro
9 meses de cartão. pagando em dias e até antes do vencimento. utilizando todo limite tenho e nunca aumentaram. Muito triste com a Nubank e pensando em cancelar! ??,negativo
Tenho um limite de 4 mil gasto. pago todo mês certo. Fui pedi aumento de limite pra comprar passagem. 10° vez q negam. Pago sempre. nunca entrei em rotativo. sou cliente praticamente quando lançou. Tenho score bom. Mais aumento nada,negativo
nubank. aumenta meu número de boletos!  Muito pouco a quantidade mensal ??,neutro
O meu ainda não aumentou ??,neutro
Eu fico até emocionado com a preocupação da nubank com o meu limite de 50 reais que me concederam.,negativo
@nubank me ajuda vai. me libera ??????,neutro
Aumentou o meu sábado ????,positivo
Aumentou o meu sábado ????,positivo
@willhollatz,neutro
Alguém tem convite do nubank para enviar  pfvr ???,neutro
@nubank Aumenta meu limite. meu cartão ainda esta com o limite inicial ??,neutro
??,positivo
Aumenta o meu??????,neutro
??,positivo
Aumentou ontem o meu kkk,positivo
Nu... Esse mês é meu aniversário! Que tal um aumento de limite? ???? Melhor banco da vida!,positivo
Vocês são incríveis !   chega de agências bancárias   ??,positivo
bancointer e @c6bank  ja me concederam cartão de crédito.mas o @nubank até hoje não confia em mim. já até parei de usar a NuConta.,negativo
Esperando ser aprovado....,neutro
esses critérios pra concessão de limite do @nubank São muito ruins. Estou tentando aumentar meu limite há bastante tempo. mas não consigo. É baixo. portanto atinjo o limite rapidamente. A pior parte é não poder fazer diversas compras que não são suportadas pelo limite disponível. acabo perdendo a oportunidade de somar pontos no rewards. Já não vejo mais a menor vantagem em ter assinado esse programa de pontos. Banco do Brasil estava melhor.,negativo
Opaa! Meu cartão com a função débito chegou ontem. ???? Liberem a função crédito e manda um porta cartão ae Nu! Nunca te pedi nada.a ????????,neutro
kkkk esta tarjeta es sensacional.. mi limite aumento y la he recomendado a todos mis amigos.. sin duda el mejor banco digital de todos??.. Segue o lider dos bancos digitais . o @nubank ??,positivo
queria,neutro
Ta mais facil Jesus voltar do que aumentar meu limite ??,negativo
??????,positivo
Quando fiz o meu a um tempinho já ele era 900.00se não me engano. hoje já está a 9.150.00 estou muito satisfeito com meu roxinho. na época tinha até mais de um cartão com bons limites  mas assim que me deram um bom limite no @nubank Logo cancelei os outros  @nubank  e o melhor sem duvida e nuconta e crédito e débito ??????,positivo
Libera meu cartão de crédito Nubank. nunca te pedi nada!,neutro
O meu aumenta a cada 3 meses. Recebi o meu cartão em abril com o limite de 400.00(achei muito pouco. pq quem gosta de gastar tá aqui  kkk) Mas depois de 3 meses aumentou pra 550.00  já fquei feliz ?? e essa semana aumentou pra 750.00 Eu sou de pagar a fatura logo que fecha. uma semana antes do vencimento.  Ainda é pouco. mas dê pouquinho em pouquinho. Né?!,positivo
Aumentaram o meu na segunda ????. melhor notificação ??,positivo
Apesar de ter uma boa renda .não me deram cartão de crédito. apenas a conta nu.estou feliz.mas ficaria mais feliz se me  permitissem ter o cartão da nu.os tradicionais Sa o muitas anuidades não aguento mais pagar tanto pra ter cartão. estou com contas em bancos normais ainda .mas quero fechar .me ajuda Nu.libera cartão de crédito ai.??????????,positivo
Nubank libera 50.00 e Bradesco 7.800 qual conta devo cancelar ? Kkk incrível né,negativo
@clara_nevesferreira,neutro
Fiz o cartão. tenho o app no celular. porém não tenho o cartão ainda. N me dão opção pra me enviarem. oq faço ??,neutro
Recebi meu cartão hoje com o limite de 50 reais! O cartão é bonito. a conta é massa mas vou cancelar precisava ter pelo menos 300 reais,negativo
Pelo amor de deussssss aumenta meu limite kkkk??,neutro
Já tá fazendo 6 meses que eu tenho cartão. Eu uso todo limite. tenho que fica apagando minha fatura pra usar mais limite mais sempre chegando no final do fechamento com o limite estourado. pago certinho.  mais nunca aumentou meu limite ??,negativo
Recebi o cartão. porém veio um limite de 50.00 Reais ?? que vou comprar com esse limite! Mesmo com esse limite adorei e espero que aumente????,positivo
Estou muito insatisfeito com o meu limite,positivo
@nubank  tem renda mínima para cartão de crédito?,neutro
@rodchalmers check it out! This is the Bank start up I told you!,neutro
Me passa o site oficial onde eu posso fazer o cartão,neutro
O Nu Bank é o melhor cartão que já tive...,positivo
@nubank  nunca te pedi nada só um dinheiro a mais pra tirar meu CRP ??,neutro
Obrigada  nubank. fui assaltada ontem  e graças ao limite concedido vou conseguir  parcelar outro. Veio no momento certo.,positivo
Eu pedi diversas vezes e nunca tinha consigo. aí quando eu desisti de pedir aumentos. eu ganhei 2 automaticamente ??????,positivo
Aumentaram o meu limite ontem para R$3850.00. Amo o meu roxinho. sempre me salvando! ????,positivo
Recebi uma mensagem hoje que estou com direito a limite de empréstimo pessoal. Adorei o limite dado e as taxas ótimas.,positivo
Aprova meu cartão de crédito ??,neutro
@feerh_torres olha aí,neutro
@_valdemirjr_,neutro
Aumentem meu limite ????,neutro
Posso pagar o boleto para deposito nas loterias ???,neutro
Pedi aumento e ainda não fui atendida @nubank,negativo
Gente pelo amor de Deus o meu limite é 50$ kkkkkkk eu ao invés de comprar no débito fico passando o crédito e pagando a fatura no dia seguinte pra vê se aumenta meu limite mas não aumenta!!! 50$ da pra comprar nada senhor.,negativo
Uma pergunta se tiver o cpf irregular tem como adquirir? Ou só quando tiver com o cpf ok ?,neutro
Nubank libera meu cartão ????,neutro
O ruim de nao aumentar o cartao. é ter que usar os cartoes da concorrencia ...,negativo
O não eu já tenho. mas todo mês vou atrás da humilhação,negativo
Aumentou meu limite ontem????????????,positivo
@alinejfreitas,neutro
Olha eu já tenho o nubank a mais o menos 8 meses e ainda não aumentou sempre peço o aumento mais vocês não dão pago tudo em dias queria muito a melhora no limite,neutro
Melhor cartão ??????,positivo
Nunca pedi nada . Aumenta o meu limite ??????,neutro
#followme,neutro
O meu foi aumentado sem eu pedir. obrigada ??,positivo
aumenta meu limite nubank. nunca pedi nada,neutro
Gosto muito do Nubank e da Nuconta... Sou cliente já há algum tempo... Já trouxe meu pagamento e sempre que uso o cartão pago sempre o valor total sem atrasos. agora o critério de aumento de limite é triste... Meu cartão Porto Seguro Visa me dá um limite de 54.100.00 reais... Recentemente abri uma conta no C6 Bank e em menos de 4 meses recebi uma oferta de 15.300.00 de limite sem taxas. porém não aceitei. pois estou esperando o Nubank mudar de ideia quando ao meu limite. quero concentrar todos meus recebimentos e gastos no Nubank.Nuconta...Porém sem esse aumento de limite compatível ao que ganho e gasto não será possível...,negativo
@nubank preciso de crédito alto e uso muito minha nuconta e hj vcs dobraram meu limite de crédito logo quando mais precisa q tô reformando a casa e nem pedi. obrigado! esse roxinho é demais.,positivo
Caso ñ tenha ninguém na residência quando o cartão chegar. onde posso retirá-lo?,neutro
????????????????,neutro
@nubank meu amor. Obrigada de coração por aumentar o meu limite hoje. Ameeeeeei... Gratidão! Eu amo meu roxinho. Melhor cartão de crédito.??????,positivo
??????Amo muito ??????,positivo
Minha renda mais que dobrou nos últimos 2 anos eu mandei holerite e nada de aumentar ??. tem amigos que ganham e gastam metade do que eu e tem mais limite. ajuda eu @nubank,negativo
Também tenho pedido o aumento mas ainda na comsegui,negativo
?? Gratidão pela força. Aumento de limite apareceu hj pela manhã. Tenham todos um bom trabalho. ?????? NuBank4Ever,positivo
@rochamarcelinha,neutro
Eu tenho nome límpo mais não consigo fazer um pra mim é meu sonho um ??,negativo
Lê esses comentários @yagorikelme limite de 50.00 KKKKKKKK TE AMO NUBANK,neutro
@rofuscaldi,neutro
Eu nunca paguei atrasado e sempre paguei a fatura total e estou pedindo o aumento de limite e não consigo. mesmo com meu limite estando todo usado. me ajuda ai tenho meu roxinho a mais de 2 anos e não quero ter que usar outros cartões,negativo
Conseguir ser aprovado esperando chegar. não vejo a hora???????? cartão top.,positivo
Passando só agradecer pq vcs são maravilhosos ????,positivo
Esperei mt tempo para ser aprovado o meu cartão. e eles liberam o limite de $50.00 ??????chega ser ridículo. deu vontade de quebrar o cartão de raiva. Vou fazer uq com esse valor,negativo
Meu limite só ta 50.00 aumentem meu limite,neutro
Aqui em casa todo mundo tem @nubank ?? primeiro começou com meu pai. com um limite de 700 e hoje está em 1.500! Depois foi minha mãe que conseguiu. com um limite de 400 e hoje está em 800! E a três meses consegui o meu também hahaha meu limite ainda é baixo (400). mas acredito que daqui a um tempinho ele aumente também... E eu sou o único que tenho a NuConta! Já tenho uma boa graninha lá guardada rendendo diariamente ?? Obrigado @nubank ?? e vê se aumenta o meu limite o mais rápido possível! Hahaha  #sounu,positivo
A segunda feira ficou bem melhor com o aumento do meu limite ??,positivo
Eu. nada ??,neutro
Valeu @nubank. acabei de receber meu novo cartão ?? só não ganhei a case ?? pode mandar que aceito ????,positivo
Obrigada pelo limite ??,positivo
Nunca consigo fazer o cartão de crédito me ajuda ai @nubank meu sonho é ter esse roxinho??,neutro
Nunca te pedi nda vei?,neutro
Melhor cartão??,positivo
todo dia a mesma ana luiza se humilhando pro nubank aumentar o limite. ajudem a publiamiga aqui ??,negativo
Tenho um muito bom .limite pouco 700.mais quero mais ...,positivo
Eu nunca atrasei um pagamento. pelo contrário sempre pago direto da NuConta e meu limite não sai dos 400.00 kk .. @Nubank me ajuda..,negativo
Quem indica muitas pessoas ganha alguma coisa,neutro
Poxaaaa Nubank. atualizei meu sistema pro iOS 13. Aí meu cartão chegou agora e fui abrir o app. não estou conseguindo continuar logo após eu por meu CPF. Me ajuda por favorrrrr ????????,negativo
Um dia espero que seja o meu cartão principal hehe. por em quanto uso ele regulamente até o limite se igualar ao principal aí tornarei ele meu único cartão hehehe,neutro
pessoal emprestimos sem consulta ao SPC e Serasa podem fazer com o Thiago ele tem minha indicação aqui o wattsap dele 11-93297-2012,neutro
O meu final de semana não foi muito bom. obrigada por ter me alegrado hoje com a notícia de aumento de crédito ????????????????????,positivo
AAAA @nubank aumentou meu limite hoje kkkk já te amo ??,positivo
Queria um desse,neutro
Aumentou o meu hoje! Hahah ??,positivo
Aumentaram o meu limite hoje ??,positivo
Ne isso,neutro
Adoroo o nubank ?? pena q veio so 50 reais de limite??,positivo
Quem tiver convite do nubank já pode me mandar ??,neutro
Assim que sair a conta PJ. cancelo minhas outras também ????,neutro
Até queria ficar só no nubank mas Credicard Zero. no mesmo período. já me deixou com 4k de crédito (e pago em dia). Fica difícil focar no Nubank com um limite de 600 rs,negativo
Alguém pode me enviar convite por favor?!,neutro
Obrigada @nubank !?????,positivo
@nubank mais um aumentinho hoje pro meu roxinho ??????????????,positivo
Eu quero fazer o meu cartão,neutro
Aumentou o meu limite hj???? rs,positivo
??????,positivo
Quero tanto um cardholder ??,neutro
@nubank posso paga boletos com o cartão de crédito com app @recargapay não tem perigo do meu cartão ser bloqueado?,neutro
@dougdeamorim,neutro
@nubank vcs são maravilhosos demais o meu limite é  400 reais mais sabe de uma coisa ? Tá bom demais meu roxinho é incrível,positivo
Parei de usar o cartão porque o limite  não aumentou. Comecei com 500 e depois de 3 meses estacionou em 750. Usei mais de um ano e nada. Esse valor não me atendeu.,negativo
Como faço para ser nubank?,neutro
??????,positivo
Pelo contrário do que dizem. eu acho o critério de avaliação da Nu bank um absurdo!!! Cansei de reclamar. nunca tive dívidas. tenho a Nubank a um ano. trabalho fixo. sempre antecipo meus pagamentos e até hoje tenho R$ 50.00 de limite na nu bank mesmo reclamando e implorando um aumento constantemente. O pior é que todas as pessoas que conheço que ganham menos que eu tem limites altos mesmo com pouco tempo com o cartão ???? estou a cancelar,negativo
Adoro esse cartão ????,positivo
@bruno_soares._ viw por isso 50.00 de limite kkk.. Brinks migo,neutro
Coisa linda,positivo
Eu amooo o meu roxinho ??,positivo
O Nubank é maravilhoso perfeito????,positivo
Amo esse banco. principalmente pq sou emprededor e me ajuda muito na hora de receber pagamentos dos clientes... Agora estou a espera da aprovação do meu cartão de créditos ! ????,positivo
Pagar minha fatura que devo e vou cancelar isso não interresso um limite de 400 por anos não tenho meu digio limite bem alto,negativo
Tenho cartão de limite Alto e essa coisa nunca saiu de 400 coisa fraca.,negativo
Vcs aumenta limite dos mas ricos dão limite de 400 reais achando que é uma fortuna!!,negativo
Nem vou pedir pra aumentar pq nem aceitam meu pedido de cartão de crédito e de um de cartão de débito. Decepcionada me senti completamente excluída.,negativo
No meu primeiro ano de nubank nunca consegui aumento. mesmo sem atrasar as faturas e sempre pedia e nunca liberava. depois deixei de pedir e já aumentou umas 3×...????????,negativo
Falta atendimento. Não existe suporte. Essa análise de crédito não leva em consideração movimentação. comprovação de renda. Nada! Os critérios não são claros e o atendimento é robotizado. O futuro chegou e esqueceu que do outro lado quem usa o cartão são pessoas.,negativo
50 de limite muito poco.,negativo
Engraçado que meu limite e de 50 reias,negativo
Eu viro o mundo.  mas não deixo de pagar vocês. Pago até adiantado. Tenho o maior prazer.  Pois vocês foram muito generosos comigo. E só tenho que tetribuir essa generosidade e confiança. pagando tudo em dia. tudo certinho com a Nubank. Obrigada pela oportunidade Nubank! ??,positivo
Galera explicando assunto de limite  aí .  ser você recebeu 50 reais e pedi  1.000 reais de limite eles não vão autoriza isso óbvio ... Vai pouco a pouco vai pedindo de 100 a 100 fica a dica aí  pedi 20por cento do valor do seu limite ... Pagar antecipado não influencia em nada  porque sempre eu pago no fechamento,neutro
Só esperando uma maquininha de cartão nubank! Seria lindo ??????,neutro
Complicado. eu geralmente gasto muito quando vou viajar ou comprar algo tipo um eletrodoméstico ou móveis. Nunca deixei de pagar ou atrasar uma parcela. Porém. nessas situações nunca consigo usar o Nubank porque o limite é baixo. Resultado: Preciso manter a conta em um banco diferente e que me cobra taxas porque ele me oferece o dobro de limite.  Observação: Tem quase 2 anos que tento aumentar meu limite pra ver se consigo encerrar minha conta no outro banco pra me livrar das taxas ??,negativo
Um pouco mais de 2 anos e estou muito satisfeita com o meu limite. comecei com 400 e hoje tô com 1200. Não costumo estourar. mas agora vai servir pra uma emergência. Amo??!,positivo
??????????,positivo
Alguém tem o convite ? Se tiver podem me mandar?,neutro
@gabrielherculano,neutro
Queremos compatibilidade com o Samsung Pay. @nubank!,neutro
Estou tentando fazer o login no app mas não entra e volta pra página inicial.,negativo
??????????o melhor é o roxinho ??????,positivo
Quero só o cartão de débito o de crédito não.. como faço ?,neutro
Já tentei várias vezes tenho a conta e não consigo o cartão ?? estou extremamente decepcionada com isso.e meu score é alto e pessoas que nem tinham score alto já conseguiram.,negativo
Meu queridinho,positivo
Gostaria de pedir um Cartão como faço??,neutro
Adoro o cartão. o App e as pessoas q trabalham na @nubank pq sempre resolvem minhas dúvidas de forma fácil. rápida e super amorzinho. Me sinto livre usando o cartão. já q n tem anuidade e meu roxinho é lindooo??. a nuconta então de tão maravilhosa nem se fala. Fim das filas. do estresse e da chateação dos bancos convencionais!!!???,positivo
??,neutro
??,neutro
Eu não entendo er que o meu não quer sair 800 sendo que já disse sou empreiteiro dê não dê obra. Ganho bem mas não tenho como comprovar pra vcs pois não er em empresa que eu trabalho er em qualquer lugar. Como faço pra ter mas limite só não mim respondam faça antecipação da suas compras er pague em dias pois  isso er necessario pois assim o faço afinal não er meu Er só emprestado abraços equipe nunbak,negativo
Por incrível que pareça não me aprova de jeito nenhum??,negativo
Tenho 169 indicaçoes e continuo indicando nao ganhei nem 0.5 de  limite,negativo
Que amor ?????? meu roxinho favorito ??,positivo
Já tenho o Nubank a 1 ano e não aumentaram. em nada meu limite ... Estou muito triste com o Nubank.??,negativo
@5hirleylino @rodriguespatriciadesign,neutro
Tenho banco inter com limite de 2.600 e nunca fui pro Serasa . já o nubank só 50.00 bela análise essa de vocês em ....,negativo
Amo esse cartão. nota mil! ??????,positivo
Amoooo!!!! Mas tá difícil aumentar o meu limite hein....,positivo
Eu fico chocada em como o Nubank não aumenta meu limite. Infelizmente eu foco no cartão de outro banco por ter limite alto e compatível com meus gastos. Tenho o cartão há 1 ano. dinheiro guardado na NuConta. tudo pago em dia e o limite pequeno. Até parei de usar o cartão.,negativo
Infelizmente não tenho o acesso ao cartão de crédito. pois tenho meu nome sujo.. Mas em compensação. a NuConta é incrível ?? sem anuidades. rendimento maior que a poupança. tudo que eu queria ??,positivo
????????????????,positivo
Gosto da postura do Nubank! ????,positivo
Um caso de amor eterno ??,positivo
Melhor empresa . adoooorooooo!,positivo
Acabei de receber meu novo cartão love you????,positivo
Meu roxinho querido????,positivo
Mês passado fiquei com limite negativado paguei a fatura fiquei com 3 centavos de limite o mês todo sem poder fazer compra muito chato,negativo
FOX TRADER X. invista com inteligência e segurança. coloque seu dinheiro para trabalhar para voce através da nossa equipe de profissionais. whats 88993095301,neutro
O meu limite nunca Aumentar ????,negativo
Eu faço o quê com limite de 50 reais?kkkkk achei isso um deboche...Mais e um ?? bom cartão com uma conta legal.,negativo
Utilizo o Cartão de crédito desde 2017 pagando em dia. Faz alguma diferença eu enviar convite ou a pessoa iniciar o processo sem convite é a mesma coisa?? ??,neutro
Eu so queria q o app funcionasse no xenfone 2 :.,negativo
Eu uso o meu a tempos já.  só que não uso todo meu limite. Mas. queria que o meu limite aumentasse para que se eu precisasse em uma ocasião especial. eu tivesse como utilizar.,neutro
Meu roxinhooo??,positivo
Aumenta o meu. vá lá!! Eu respeito todos os critérios. ainda indico Nubank pro mundo! ??,neutro
Estou a meses tentando o aumento de limite. sempre pago a fatura completa e antes da data de vencimento. msm assim nao consigo um aumento. precisei compra a poucos dias. e tive q pedir cartao emprestando pq o nubank nao aumenta meu limite. sinceramente estou decepcionada.,negativo
Comecei com 800 e já faz 1ano e 3meses que tô com ele e agora que estou com 1700. e pq já pedir aumento . aí ele diz faça um pagamento antecipado.se fosse pra fazer um pagamento antecipado eu não pedia aumento,positivo
Não tem problema. Gastarei nas outras bandeiras que acreditam mais na minha consciência e compromisso em gastar apenas o que se pode pagar.,negativo
Como se explora 50 conto de limite. Brasel? Nem no mercadinho se gasta mais 50 conto. Hahahaha Acho que esse estudo ai falhou comigo pq nem cartão de crédito eu uso. resolvi adquirir e me deram 50 de limite kakakakaka rindo de nervoso,negativo
Nubank deixa eu fazer minhas compras parceladas. mesmo sendo pelo emissor.,neutro
Meu serasa score fica entre 700 e 800. nunca atrasei se quer UM DIA a fatura. cliente ha 11 meses e não tive um mísero aumento. Precisei fazer uma compra em um valor alto e tive que fazer outro cartão de crédito pois o Nubank não quis me dar aumento. Um amigo meu que meu marido indicou. conta que ja atrasou a fatura e teve o limite aumentado. As vezes seja isso que faltou nos meus requisitos ???????,negativo
Seus lindos ?? #sounu,positivo
Aprova o meu ??,neutro
Prefiro deixar o cartão para segundo plano! Uso mais o do @bancointer que regularmente aumenta meu limite. Veja meu perfil se deixo de pagar em dia minha faturas e depois analisamos o discurso acima. ??,negativo
Sempre Pago a fatura adiantada. uso todo limite possível. renda sempre em dia e mais de 3 meses de uso até hoje nenhum aumento ...,negativo
@manurzzz  depois explico pq marquei vc.  Bjs,neutro
Se tem hoje uma empresa de cartões melhor que @nubank desconheço. melhor cartão do mundo. e olha que não gostava de cartões. mas esse roxinho conquistou meu coração. falo bem demais dele. comecei com apenas R$350.00 hoje tenho R$3.800.00 para comprar os móveis da casa para casar. valeu roxinho. amo vocês!,positivo
O meu cartão tem 2mil de limite mas eu pago o que eu gasto no mês em torno de 56 reais ??,positivo
Eu ja cansei de pedir! Uso todo mes! Pago em dia. mas nao vem ao caso. dificilmente aumentam meu limite e ai sou obrigado a usar outro cartão. so nao entendo uma amiga minha do nada o limite dela passou de 10.000 reais. isso mesmo 10.000 reais e esta desempregada. nao da pra entender. depois diz que nao quer endividar a pessoa! ??????????,negativo
A tempos venho pedindo o aumento do limite sempre é negado.smp pago minha fatura em dias e não aumenta. isso é meio que revoltante...as vezes penso em mudar de empresa @nubank,negativo
Meu nunca aumenta,negativo
@mandarquiteta,neutro
Meu limite é baixo justamente porque não consigo me controlar nos gastos. No meio a tanta merda que fiz. escolhi o roxinho pra ter e manter em dia. Até agradeço por não aumentarem o meu. justamente por esse cuidado diferenciado que vcs tem. Vcs são maravilhosos. meu roxinho ??,positivo
??,positivo
Meu roxin  chegou!! ?? tô apaixonadíssima ?,positivo
O meu cartão tem um limite baixo para os meus gastos e só subio o limite uma vez  e sinceramente quem define o que tenho que gastar sou eu então acabo usando os outros que tem as mesmas vantagens e um limite até 5 vezes maior. Conheço pessoas que têm nu com renda menor e não são bons clientes eu sempre paguei antes do vencimento então não entendo os critérios.,negativo
Isso mesmo. eu que o diga. Mas. quando der manda mais. tô aqui pra te usar. com consciência. claro..,positivo
Aumentou nadinha *,negativo
Mas @nubank tô c o cartão a quase mais de 1 ano e n aume toi,negativo
Gostaria de convite,neutro
